Id;País;ano;Quantidade (Kg)
11;México;1995;8548
12;Peru;1995;0
13;Paraguai;1995;0
14;Portugal;1995;0
15;Panamá;1995;0
16;Reino Unido;1995;0
17;Uruguai;1995;21450
18;Venezuela;1995;26013
19;Não consta na tabela;1995;0
20;Outros;1995;3638
1;Argélia;1996;0
2;Argentina;1996;4952178
3;Brasil;1996;0
4;Chile;1996;51322639
5;Colômbia;1996;0
6;Egito;1996;0
7;Espanha;1996;0
8;Estados Unidos;1996;2439010
9;Grécia;1996;0
10;Itália;1996;0
11;México;1996;0
12;Peru;1996;0
13;Paraguai;1996;4723
14;Portugal;1996;0
15;Panamá;1996;0
16;Reino Unido;1996;0
17;Uruguai;1996;23660
18;Venezuela;1996;57195
19;Não consta na tabela;1996;17722
20;Outros;1996;79
1;Argélia;1996;0
2;Argentina;1996;4456961
3;Brasil;1996;0
4;Chile;1996;24792241
5;Colômbia;1996;0
6;Egito;1996;0
7;Espanha;1996;0
8;Estados Unidos;1996;2690109
9;Grécia;1996;0
10;Itália;1996;0
11;México;1996;0
12;Peru;1996;0
13;Paraguai;1996;5495
14;Portugal;1996;0
15;Panamá;1996;0
16;Reino Unido;1996;0
17;Uruguai;1996;30150
18;Venezuela;1996;26287
19;Não consta na tabela;1996;14976
20;Outros;1996;250
1;Argélia;1997;0
2;Argentina;1997;3570021
3;Brasil;1997;0
4;Chile;1997;17258803
5;Colômbia;1997;0
6;Egito;1997;0
7;Espanha;1997;17000
8;Estados Unidos;1997;2159867
9;Grécia;1997;0
10;Itália;1997;0
11;México;1997;0
12;Peru;1997;0
13;Paraguai;1997;0
14;Portugal;1997;8500
15;Panamá;1997;0
16;Reino Unido;1997;0
17;Uruguai;1997;26816
18;Venezuela;1997;18967
19;Não consta na tabela;1997;0
20;Outros;1997;162376
1;Argélia;1997;0
